,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Shanae,690,663,,,,,,,,
Shane,73,77,92,112,117,116,130,165,179,174
Shanell,920,,,,,,,,,
Shanelle,,953,,,,,,,,
Shanequa,,856,,,,,,,,
Shania,,,,171,286,291,469,384,487,663
Shanice,727,163,342,686,962,,,,,
Shaniece,,937,,,,,,,,
Shanika,728,806,,,,,,,,
Shaniqua,327,420,794,,,,,,,
Shaniya,,,,,,924,736,597,646,735
Shanna,430,512,629,736,,,,,,
Shannon,68,65,60,80,649,723,742,873,986,482
Shante,612,881,,,,,,,,
Shantel,499,536,622,578,986,,,,,
Shantell,991,,,,,,,,,
Shaquan,,,661,951,,,,,,
Shaquille,,426,235,661,,,,,,
Shari,943,,,,,,,,,
Sharon,274,298,315,326,398,420,512,556,623,641
Shaun,224,288,324,371,370,355,402,399,341,436
Shauna,364,460,651,637,871,,,,,
Shawn,69,71,86,111,113,135,152,171,169,195
Shawna,249,306,337,468,556,694,897,,,
Shawnee,,871,,,,,,,,
Shay,960,,969,,,,,,,
Shayla,337,317,330,276,306,313,314,347,330,346
Shaylee,,,,,813,832,781,774,788,950
Shayna,412,391,421,432,488,582,708,800,810,978
Shayne,484,554,570,607,714,724,861,939,,
Shea,856,785,748,883,703,935,800,896,893,962
Sheena,470,621,,,,,,,,
Sheila,413,401,563,605,661,690,726,803,946,
Shelbi,883,480,598,684,898,,,,,
Shelbie,,527,765,664,777,,,,,
Shelby,525,473,538,590,886,70,74,112,133,158
Sheldon,441,380,437,475,518,623,686,759,843,952
Shelley,703,776,,,,,,,,
Shelly,565,647,737,906,,,,,,
Shelton,814,876,945,971,,,,,,
Shemar,,,,906,930,672,970,,,
Sheridan,,,,956,,845,985,,,
Sherlyn,,,,,,,,579,362,658
Sherman,793,795,895,,,,,,,
Sherri,921,,,,,,,,,
Sherry,581,710,826,,,,,,,
Sheyla,,,,,,,,,862,
Shianne,,,,873,905,,,,,
Shiloh,,,,,,,,,,650
Shirley,510,530,594,654,743,851,878,987,,911
Shreya,,,,,,,885,855,,
Shyann,,,955,776,744,765,721,789,975,850
Shyanne,,,735,510,514,532,580,694,726,656
Shyheim,,,817,,,,,,,
Shyla,,,,,,,,,919,797
Sidney,922,618,509,529,536,595,676,722,801,813
Siena,,,,,,,,,629,647
Sienna,,,,817,532,619,664,609,177,177
Sierra,141,130,71,62,51,53,62,92,141,175
Silas,968,817,871,740,679,600,431,429,373,313
Silvia,613,614,662,718,799,853,,,,
Simeon,,,,900,840,909,,854,950,967
Simon,379,348,356,342,301,263,242,254,246,261
Simone,346,408,486,443,450,583,546,479,564,550
Sincere,,,,,,846,768,735,637,719
Sky,,,,,,1000,893,,,
Skye,689,723,681,581,492,480,446,400,433,501
Skyla,,,,,843,666,612,587,598,596
Skylar,563,565,403,373,358,356,383,472,436,515
Skyler,738,689,591,469,296,250,272,310,315,422
Slade,,,,,,,,,,928
Sloane,,,,,,,,,,999
Sofia,645,528,489,361,232,161,112,69,56,36
Solomon,689,646,595,538,500,463,460,477,486,429
Sonia,315,330,363,409,418,506,531,553,599,706
Sonja,828,983,,,,,,,,
Sonny,651,754,861,888,878,869,813,835,883,863
Sonya,512,593,685,726,783,892,906,,,
Sophia,250,212,185,126,73,42,27,15,9,7
Sophie,606,485,415,329,255,160,149,135,125,74
Soren,,,,,,,,849,808,723
Spencer,105,99,97,109,84,98,110,151,182,191
Spenser,686,831,986,946,,,,,,
Stacey,875,986,329,437,560,682,769,832,976,
Staci,439,537,799,,,,,,,
Stacie,420,526,672,882,,,,,,
Stacy,822,869,319,420,517,597,662,629,672,725
Stanley,313,343,385,426,471,505,490,555,600,653
Star,,,,,973,,,,,
Starr,,,,,823,,,,,
Stefan,367,376,396,480,530,571,662,792,878,
Stefani,741,918,,,,,,,,
Stefanie,289,339,500,602,709,887,,,,
Stella,,,,,906,656,500,291,241,186
Stephan,406,436,460,532,600,718,757,862,965,
Stephanie,7,8,15,20,29,40,41,55,70,105
Stephany,442,453,510,533,679,727,672,748,799,904
Stephen,39,45,49,60,78,95,114,140,165,192
Stephon,591,663,532,546,587,726,911,909,,
Sterling,463,440,402,462,505,568,588,674,784,872
Stetson,,942,818,,,,,,,
Steve,267,302,345,369,390,394,454,503,532,593
Steven,25,29,34,38,46,54,68,78,90,104
Stevie,802,865,687,857,903,,,,,
Stewart,593,679,734,833,991,,,,,
Stone,,,,699,632,719,827,925,984,
Storm,,894,898,952,,,,,,
Stormy,,802,807,917,,,,,,
Stuart,344,427,464,564,664,665,870,,,
Sullivan,,,,,,,990,948,916,706
Summer,271,254,141,137,131,145,151,140,154,171
Susan,172,210,273,299,382,422,475,550,611,712
Susana,555,547,503,558,687,717,756,846,875,
Susanna,857,912,927,897,,,,,,
Suzanne,370,446,560,666,844,,,,,
Sydnee,,,892,742,626,540,660,678,769,940
Sydney,150,124,75,988,28,23,23,27,34,49
Sydni,,,,849,883,559,737,971,,
Sydnie,,,,850,849,681,913,953,,
Syed,,,961,964,986,754,952,,,
Sylvester,713,,962,,,,,,,
Sylvia,333,363,427,457,470,505,518,560,524,559
Symone,822,862,,,,,,,,
Tabatha,416,602,659,883,,,,,,
Tabitha,164,189,211,231,281,319,390,447,534,591
Tahj,,,,,771,,,,,
Taj,,,,,956,,,,,
Talan,,,,,,,,,309,726
Talen,,,,,,,,,893,
Talia,607,494,473,456,393,378,367,334,363,389
Taliyah,,,,,,,687,682,735,669
Talon,929,842,881,718,707,701,648,763,428,465
Tamara,209,223,246,287,336,417,374,569,678,818
Tameka,842,,,,,,,,,
Tamera,,,,738,821,,,,,
Tamia,,,,497,378,424,486,374,575,555
Tamika,572,789,,,,,,,,
Tammy,450,534,655,874,840,,,,,
Tamya,,,,,,,,962,,
Tanesha,809,,949,,,,,,,
Tania,489,384,373,426,446,457,411,466,447,606
Tanisha,385,387,440,555,858,,,,,
Taniya,,,,,,,801,698,664,886
Taniyah,,,,,,,,808,891,914
Tanner,220,101,96,90,82,93,111,125,142,161
Tanya,252,267,369,445,602,573,570,635,746,843
Tara,85,118,146,167,189,239,295,322,463,632
Tarah,995,,,,,,,,,
Tarik,,,,855,978,,,,,
Tariq,,929,948,807,444,648,738,871,,
Taryn,335,370,410,392,436,447,467,420,444,489
Tasha,246,333,469,663,,,,,,
Tasia,,,,,802,,,,,
Tate,1000,686,644,587,512,437,456,387,412,433
Tatiana,283,269,242,220,215,252,287,290,283,329
Tatianna,,,,859,817,854,,,962,
Tatum,,,982,948,397,419,392,383,349,368
Tatyana,,863,691,357,311,397,609,709,820,
Tavian,,,,,862,,,,,
Tavion,,,,,,,858,,,
Tavon,985,930,931,778,,,,,,
Taya,,,,,638,905,931,967,,
Tayla,,,,,987,,,,923,
Tayler,708,860,810,898,424,514,691,791,911,
Taylor,64,52,6,82,7,9,190,22,222,256
Tayshaun,,,,,,,,962,,
Tea,,,,,749,,,,,
Teagan,,,,,,838,624,905,827,658
Ted,642,759,834,956,,,,,,
Teddy,794,954,,976,,,,,,
Tera,891,,,,,,,,,
Terence,452,482,553,668,775,797,,,,
Teresa,180,206,255,270,308,343,376,409,535,580
Teri,838,,,,,,,,,
Terra,630,747,803,943,,,,,,
Terrance,235,232,275,340,374,403,442,473,465,524
Terrell,282,310,336,361,320,409,474,488,520,553
Terrence,256,270,321,376,459,486,558,604,538,605
Terri,554,706,796,865,,,,,,
Terry,164,196,241,259,303,331,380,401,446,477
Tess,573,465,522,567,572,549,614,642,734,870
Tessa,290,236,241,226,225,266,294,278,252,202
Tevin,381,162,207,434,585,800,,,,
Thaddeus,581,657,690,722,811,762,746,906,998,955
Thalia,,755,640,490,624,630,607,573,774,879
Theodore,233,260,292,294,289,312,300,313,296,295
Theresa,196,226,261,317,365,416,513,668,717,852
Theron,,995,,,,,,,,
Thomas,26,27,27,28,31,33,36,37,51,52
Tia,303,286,296,271,314,406,438,509,608,880
Tiana,424,336,288,304,291,349,377,434,477,651
Tianna,712,577,505,471,477,486,597,712,690,844
Tiara,245,237,257,249,328,377,514,630,551,937
Tiarra,,,934,,,,,,,
Tiera,769,762,983,,,,,,,
Tierra,352,349,331,364,425,534,716,,,
Tiffani,456,447,416,440,674,,,,,
Tiffanie,691,791,905,,,,,,,
Tiffany,23,32,35,52,67,101,141,175,210,250
Timmy,871,877,,,,,,,,
Timothy,30,34,39,40,49,58,70,79,94,108
Tina,240,312,361,441,569,574,669,749,932,
Titus,879,834,908,877,786,633,599,572,550,443
Tobias,725,835,780,747,593,589,532,500,484,531
Toby,577,607,590,550,577,538,476,428,509,579
Todd,158,216,252,298,365,426,469,540,653,769
Tom,692,861,,997,,,,,,
Tomas,491,484,470,439,457,476,462,483,488,551
Tommie,892,,,,,,,,,
Tommy,270,303,316,306,298,307,342,395,460,516
Toni,275,315,284,342,417,545,648,755,819,
Tony,146,163,189,229,255,282,283,320,329,357
Tonya,365,456,602,893,,,,,,
Torey,991,,,,,,,,,
Tori,466,218,142,185,233,263,286,371,452,490
Torrey,977,,,,,,,,,
Tory,666,716,813,,,,,,,
Tosha,979,,,,,,,,,
Trace,978,955,806,748,437,547,519,531,536,508
Tracey,492,596,861,969,,,,,,
Traci,475,660,827,,,,,,,
Tracie,927,,,,,,,,,
Tracy,516,591,627,700,781,709,826,949,,
Trae,,823,915,,,,,,,
Travis,42,48,53,73,98,115,144,166,163,177
Travon,853,669,587,621,643,669,769,913,935,
Trayvon,,,859,966,,,,,,
Tre,,428,490,630,645,627,798,977,,
Treasure,,,,,,,,892,,
Tremaine,954,,,,,,,,,
Trent,253,257,268,252,231,232,231,258,287,312
Trenten,,,,,,,,973,,
Trenton,266,239,224,187,183,178,180,186,192,196
Trever,752,698,659,707,717,806,877,974,,
Trevin,,,,,992,,977,990,,796
Trevion,,,,,,910,825,984,,
Trevon,843,515,363,360,344,362,394,452,530,566
Trevor,76,63,57,63,58,75,81,110,125,147
Trey,345,269,212,238,210,215,213,237,250,316
Treyton,,,,,,,826,,,
Treyvon,,,,,,991,,,928,
Tricia,496,656,808,,,,,,,
Trina,917,,,,,,,,,
Trinity,,,789,672,526,74,70,48,63,70
Tripp,,,,,,,,,,926
Trisha,305,335,470,668,790,908,,,,
Trista,745,887,,861,,,967,530,812,
Tristan,330,371,452,68,92,105,869,115,86,81
Tristen,,,,723,276,327,315,331,335,339
Tristian,,,,592,671,731,785,787,729,732
Tristin,,,,374,421,521,488,570,557,555
Triston,,,,341,380,443,465,497,487,498
Troy,128,146,122,155,184,225,249,227,229,231
Truman,,,,,,,,958,943,
Trystan,,,,795,857,907,953,,961,968
Tucker,475,443,351,326,306,288,296,288,260,237
Turner,,,899,834,820,900,925,907,,973
Ty,437,345,319,242,262,259,214,181,210,247
Tyesha,834,816,923,970,,,,,,
Tyler,537,8,5,7,8,415,524,577,741,27
Tylor,546,422,423,467,504,601,835,999,,
Tyquan,,964,857,820,846,,,,,
Tyra,,,657,421,320,448,680,705,662,
Tyree,564,479,542,474,405,493,573,615,700,724
Tyreek,,,,,822,915,,,,
Tyrek,,,,,694,880,,,,
Tyrel,961,935,,,,,,,,
Tyrell,450,354,449,413,449,492,537,601,655,778
Tyrese,,,,,612,326,453,593,621,881
Tyrik,,,,,895,,,,,
Tyrin,,,942,,,,,,,
Tyriq,,,,,776,,,,,
Tyrique,,,,,755,953,,,,
Tyron,716,849,819,798,865,,,,,
Tyrone,260,289,313,355,398,411,507,562,575,654
Tyshawn,,936,955,866,891,885,887,932,902,920
Tyson,407,532,501,445,381,335,307,284,276,249
Ulises,798,760,706,643,565,555,543,591,525,582
Ulysses,753,862,936,816,750,776,814,,,
Unique,,,,788,864,890,926,,,
Unknown,741,843,835,,,,,,,
Uriah,,,,,,,,,,697
Uriel,690,589,560,515,516,478,451,446,403,387
Urijah,,,,,,,,,,889
Valencia,815,913,976,,,,,,,
Valentin,902,,872,907,979,958,,,911,641
Valentina,,,960,949,835,714,603,481,438,265
Valentino,,,,,,,,,967,906
Valeria,681,389,340,330,290,222,197,174,90,73
Valerie,129,136,159,154,148,166,157,180,127,135
Valery,,,,,,,,,720,889
Van,880,974,,,,,,,904,816
Vance,646,673,781,858,,,844,788,719,765
Vanesa,,,914,841,927,,849,,,
Vanessa,56,55,59,60,52,62,68,75,79,76
Vaughn,754,761,719,931,870,916,934,785,734,846
Vernon,489,568,635,670,767,843,926,,,
Veronica,96,95,111,114,127,143,172,193,211,261
Vicente,587,574,524,579,566,559,559,564,599,622
Vicky,945,,,,,,,,,
Victor,82,87,93,100,97,97,100,102,104,111
Victoria,33,22,19,18,16,20,21,28,28,27
Vince,888,975,,,,,,,,
Vincent,78,92,100,116,121,120,122,120,108,120
Vincenzo,,,,,960,992,,936,857,
Violet,,,,,907,741,611,588,261,184
Virgil,810,,,,,,,,,
Virginia,215,257,294,293,362,366,369,439,511,562
Viridiana,,,928,944,,,,,,
Vivian,448,307,299,314,326,272,249,232,223,207
Viviana,667,544,490,484,478,391,447,430,449,475
Wade,323,347,413,398,448,474,538,520,551,591
Walker,845,737,534,446,427,428,407,382,414,499
Wallace,905,897,,,,,,,,
Walter,191,217,251,272,313,308,331,365,355,393
Wanda,981,,,,,,,,,
Warren,340,358,386,428,424,440,527,527,506,509
Waylon,995,913,970,989,,,753,687,547,545
Wayne,242,294,333,392,438,509,539,598,645,694
Wendell,680,764,873,,,,,,,
Wendy,205,222,244,297,339,317,261,307,354,458
Wesley,107,111,118,137,152,171,183,184,190,194
Westley,734,872,971,,,,,,,
Weston,398,372,364,379,412,398,381,380,380,324
Whitley,549,849,,,,,,,,
Whitney,60,85,91,140,193,270,350,450,531,570
Wilbert,944,,,,,,,,,
Wilfredo,759,786,956,,,,,,,
Will,589,650,660,622,578,510,549,529,533,587
William,16,20,19,18,14,11,11,8,10,8
Willie,222,237,291,329,354,410,437,496,514,562
Willis,815,965,,,,,,,,
Willow,,,,,852,760,504,551,529,408
Wilson,480,432,533,526,520,525,468,465,512,537
Winston,596,621,665,666,762,707,789,836,879,809
Wyatt,408,368,197,134,137,111,119,90,82,62
Xander,,,,,,927,545,259,278,267
Xavier,186,147,139,141,131,102,89,89,78,71
Xena,,,,759,,,,,,
Ximena,,,,,,,605,397,393,332
Xiomara,,,,,,,,833,806,805
Xzavier,,,,,,872,747,714,617,628
Yadiel,,,,,,,,,,949
Yadira,635,626,620,641,691,791,644,561,541,752
Yael,,,,,,,,,,912
Yahir,,,,,,,604,323,387,400
Yair,,,,,,,,739,712,838
Yajaira,,,,930,966,,,,,
Yamilet,,,,,,841,,,,899
Yamilex,,,,707,,,,,,
Yandel,,,,,,,,,674,560
Yareli,,,,,,,992,754,627,585
Yaretzi,,,,,,,,,837,597
Yaritza,,,897,987,,,,983,897,677
Yasmeen,,,935,785,767,977,,,,
Yasmin,680,612,535,444,438,423,352,337,324,400
Yasmine,,675,645,428,412,418,461,507,588,837
Yazmin,,,738,972,956,879,752,703,536,654
Yesenia,156,176,186,194,261,248,271,338,418,529
Yessenia,663,714,748,689,785,978,919,988,,
Yolanda,391,422,528,606,755,777,974,,,
Yosef,,,,,,,836,859,944,913
Yoselin,,,,,,,,805,600,671
Yousef,,,,,,,998,,,
Yuliana,,,,,,,900,877,947,862
Yurem,,,,,,,,,,1000
Yuridia,,,,,,,,,894,
Yusuf,,,,,,,,963,912,800
Yvette,361,342,465,503,621,622,718,795,913,
Yvonne,371,381,481,529,690,829,937,,,
Zachariah,327,305,320,347,373,374,397,424,420,441
Zachary,22,16,12,14,16,15,19,26,33,47
Zachery,234,184,180,220,241,277,324,423,495,625
Zack,,,,,,,978,920,936,884
Zackary,333,278,232,241,235,249,254,287,320,362
Zackery,419,326,306,316,345,369,409,501,585,638
Zaid,,,,,,,,964,,924
Zaiden,,,,,,,,,,898
Zain,,,,,,,919,829,865,797
Zaire,,,,,,798,895,965,821,844
Zakary,884,714,741,783,768,732,683,843,894,
Zana,,,809,,,,,,,
Zander,,,,,,993,533,279,306,298
Zane,434,373,325,291,268,246,222,231,243,235
Zaniyah,,,,,,,,,,882
Zara,,,,,,,,,858,774
Zaria,,,,727,525,479,587,671,718,682
Zariah,,,,,,,,968,789,581
Zavier,,,,,,,927,940,809,742
Zayden,,,,,,,,,871,488
Zayne,,,,,,,967,,959,825
Zechariah,816,703,689,691,701,670,655,664,676,659
Zhane,,,585,,,,,,,
Zion,,,,,695,300,333,312,817,699
Zoe,504,282,216,155,122,82,60,54,54,58
Zoey,,,,657,530,409,268,209,119,98
Zoie,,,,,928,728,590,552,552,618
